year,track_id,track_name,artist_name,album_name,plays,total_minutes,skip_rate,shuffle_rate,has_features
2022,3BlsMrQVvRCk3jmmKV7otm,Island Music,Tennis,Yours Conditionally,109,234.7,0.3303,0.055,True
2022,5JeZZtqY0loM9UHQVIChby,Some things Cosmic,Angel Olsen,Strange Cacti,100,171.72,0.34,0.03,True
2022,5HLes17mwCwKt81mi0Tk35,"Archie, Marry Me",Alvvays,Alvvays,78,138.94,0.4615,0.0385,True
2022,6TJAFFa2VaRdFB5UA4BJRt,Origins,Tennis,Young & Old,77,187.91,0.2857,0.0,True
2022,3eiXtKo5PAWArBDAw1gkhI,El Beso,Mon Laferte,Norma,74,160.76,0.2568,0.0676,True
2022,4skuEIloXWuxxgekKupkEH,Tu Falta De Querer,Mon Laferte,Mon Laferte - Vol. 1,73,184.81,0.3699,0.3151,True
2022,0OEBOJhSObnFuHuasXdt52,Dia de Enero,Shakira,"Fijación Oral, Vol. 1",72,152.89,0.2778,0.1528,True
2022,00kIWJu9IHiQ6i0qJAU0Z9,Amor Completo,Mon Laferte,Mon Laferte - Vol. 1,71,129.3,0.4648,0.0986,True
2022,1e2LGT07diSwc7UYnK7txi,More Of The Same,Caroline Rose,LONER,70,201.28,0.3429,0.0143,True
2022,3jw5KrLTxeIzpSvByNsH7F,Blue Coupe,Twin Peaks,Sweet '17 Singles,68,124.55,0.4559,0.0735,True
2022,71gZOVZcfn2Yp6evM2PdzW,Shake Your Lonely,Twin Peaks,Sweet '17 Singles,68,138.56,0.4265,0.0882,True
2022,5kTfGxslMBLVeapaoeb0ZW,Soul No. 5,Caroline Rose,LONER,65,112.8,0.4923,0.0154,True
2022,1gQxoBZiyLK5hRLLoBg89x,Primaveral,Mon Laferte,La Trenza,63,135.55,0.4286,0.0794,True
2022,3LueS3mbuB1yaJNN0Ale6U,Avant Gardener,Courtney Barnett,The Double EP: A Sea of Split Peas,56,163.64,0.3571,0.0357,True
2022,2NsMwNWumJXCdTg2IZCLZ5,Lento,Julieta Venegas,Si,54,114.35,0.3704,0.0185,True
2022,3EK4tGkSiO5xvvB5sM4tln,Amárrame,Mon Laferte,La Trenza,52,106.72,0.3462,0.0769,True
