track_id,track_name,artist_name,album_name,genre,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,tempo,key,mode,loudness,time_signature,total_plays,total_minutes,avg_skip_rate,years_active
6LOZws7T3jqZz78unPgFF9,Dead To Me,Kali Uchis,Isolation,Pop,66,0.432,0.675,0.761,0.0,0.102,0.0466,0.428,119.001,E,Minor,-4.469,4/4,29,45.3,0.483,[2021]
4lY95OMGb9WxP6IYut64ir,Shake It Out,Florence + The Machine,Ceremonials - Deluxe Edition,Pop,65,0.0126,0.519,0.808,0.0,0.105,0.0383,0.251,107.505,A#,Major,-4.097,4/4,29,134.3,0.172,[2023]
5ojVq0bohB1uEEMga1IO3j,You Probably Couldn't See For The Lights But You Were Staring Straight At Me,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Indie,46,0.00384,0.58,0.972,0.0,0.296,0.0589,0.926,105.492,B,Minor,-4.274,4/4,29,23.6,0.621,[2022]
2zPANzQTt5Nbkg0eBPb7HI,There Will Never Be Another You - Vocal Version,Chet Baker,Chet Baker Sings,Jazz,46,0.949,0.513,0.112,0.0018,0.0721,0.0574,0.577,168.754,D#,Major,-16.156,3/4,29,25.6,0.69,[2021]
7zFXmv6vqI4qOt4yGf3jYZ,Get You (feat. Kali Uchis),Daniel Caesar,Freudian,Pop,80,0.422,0.658,0.294,5.2e-05,0.0749,0.0321,0.358,74.038,E,Minor,-8.533,4/4,29,51.4,0.552,[2021]
6SpLc7EXZIPpy0sVko0aoU,Misery Business,Paramore,Riot!,Pop,71,0.00272,0.517,0.906,9.26e-06,0.113,0.0735,0.731,172.977,C#,Major,-3.677,4/4,29,19.6,0.724,[2021]
0ewrI06EIDMGXvgJxuyF3U,Dearly Departed (feat. Esmé Patterson),Shakey Graves,And The War Came,Folk,62,0.303,0.576,0.609,0.0,0.164,0.107,0.737,86.703,G,Major,-5.921,4/4,29,71.0,0.276,[2024]
1HYnjKqSSHh1tdl2Hi57zH,"Wasteland, Baby!",Hozier,"Wasteland, Baby!",Pop,65,0.612,0.427,0.407,0.386,0.109,0.0382,0.244,168.844,D,Major,-9.665,4/4,29,48.7,0.483,[2021]
09x9v1o51dbqi5H0u7UGfp,I Will - Remastered 2009,The Beatles,The Beatles,Rock,58,0.742,0.631,0.387,0.000406,0.0822,0.0262,0.832,103.11,F,Major,-11.529,4/4,28,22.7,0.536,[2021]
7sI80PK0P3tDCvULKszqzL,Set to Attack,Albert Hammond Jr,Francis Trouble,Rock,56,0.0453,0.765,0.806,0.0129,0.0914,0.0276,0.964,116.017,C,Minor,-4.464,4/4,28,28.5,0.643,[2022]
3bt6gBOA41MHQfXy0Jf855,Don't Know How To Keep Loving You,Julia Jacklin,Crushing,Folk,54,0.213,0.589,0.419,0.000187,0.106,0.0275,0.154,132.121,F,Minor,-6.524,4/4,28,53.4,0.643,[2022]
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,Parachutes,Pop,82,0.00239,0.429,0.661,0.00013,0.234,0.0281,0.285,173.365,B,Major,-7.227,4/4,28,53.5,0.436,"[2023, 2025]"
11EOvxJRG665bwRU0z6YVa,Luna,Bombay Bicycle Club,"So Long, See You Tomorrow",Children’s Music,57,0.0306,0.579,0.917,0.000579,0.143,0.048,0.387,121.989,F,Major,-5.4,4/4,28,44.9,0.464,[2021]
